物件種別,物件名称,現況,引き渡し時期,価格（最安値）,価格（最高値）,物件画像 1枚目,物件画像 1枚目の説明文,物件画像 2枚目,物件画像 2枚目の説明文,物件画像 3枚目,物件画像 3枚目の説明文,物件画像 4枚目,物件画像 4枚目の説明文,物件画像 5枚目,物件画像 5枚目の説明文,物件画像 6枚目,物件画像 6枚目の説明文,物件画像 7枚目,物件画像 7枚目の説明文,物件画像 8枚目,物件画像 8枚目の説明文,物件画像 9枚目,物件画像 9枚目の説明文,物件画像 10枚目,物件画像 10枚目の説明文,住所,Googleマップの共有リンク,交通（駅・バス停）,駐車場,間取り,取引形態,専有面積,建物面積,土地面積,バルコニー面積,敷地面積,完成年月（築年月）,販売数,販売総数,最多価格帯,接道方向,幅員(道路幅),土地の権利,建ぺい率,容積率,施行会社,用途地域,地目,主たる設備の概要,借地,借地に関する概要,私道負担,道路に関する負担金,その他制限事項,特記事項,情報公開日,情報更新日,次回更新予定日,取引の有効期限,管理・共益費,修繕積立金,管理会社,管理方式,管理人の勤務形態,修繕積立基金,階数,所在階数,売主,開発面積,開発許可番号,建築確認番号,構造,リフォーム,国土法,都市計画,建築条件,主要採光部,おすすめポイント,動画
,江良2丁目　中古住宅,空家,,"1,500万円",,,,,,,,,,,,,,,,,,,,,,,,山口線「上山口」駅 徒歩18分,有/-,5DK/122.54㎡,,,122.54㎡,187.22坪(618.94㎡),,,1972年4月（築52年）,,,,,,所有権,,,,第二種住居,,,,,,,,,,,,,,,,,,,,,,,,,,,不要,,,,,
,フェスティオ堂の前,空家,,"2,180万円",,,,,,,,,,,,,,,,,,,,,,,,"山口線「山口」駅 徒歩11分
山口線「上山口」駅 徒歩8分","空有/5,000円 (税込)",,,,,,,,2004年7月（築19年）,,,,,,所有権,,,,商業,,,,,,,,,,,,,,,,,,,,,,,,,,,不要,,,,,
